NACIONALIDAD;TOTAL;CATEDRÁTICO/A DE UNIVERSIDAD;PROFESOR/A TITULAR DE UNIVERSIDAD;PROFESOR/A PERMANENTE LABORAL;PROFESOR/A AYUDANTE DOCTOR/A;AYUDANTE LOU;PROFESOR/A COLABORADOR/A;PROFESOR/A ASOCIADO/A;PROFESOR/A VISITANTE
ALEMANIA;4;;1;;;;1;2
ARGELIA;2;;;1;;;;1
BÉLGICA;2;;;;;;;2
BULGARIA;2;;;;;2
CHILE;2;;;1;;1
CHINA (REPÚBLICA POPULAR);2;;;;;;;2
COREA DEL SUR;1;;;;1
CUBA;5;;2;;1;;;2
ECUADOR;1;;;;1
FRANCIA;5;;;1;;;;4
GHANA;1;;;;;1
GRECIA;1;;;;;;;1
HOLANDA (PAISES BAJOS);2;1;;;;;;1
IRÁN;2;;;;;2
ITALIA;17;2;5;;5;;1;4
LITUANIA;2;;;1;;;;1
MÉXICO;1;;;;;;;;1
POLONIA;1;;;;1
PORTUGAL;1;;;;;;;1
REINO UNIDO;2;;;;;;1;1
REPÚBLICA CHECA;1;;;;;;;1
RUMANÍA;2;;1;;;;;1
RUSIA;2;;;;1;;;1
SIRIA;1;;;;;;;1