NACIONALITAT;Total;Dones;Homes
ALEMANYA;23;12;11
ALGÈRIA;137;87;50
ANDORRA;2;2;0
ANGOLA;2;2;0
ARGENTINA;33;20;13
ARMÈNIA;7;5;2
ÀUSTRIA;3;1;2
BÈLGICA;9;8;1
BIELORÚSSIA;6;3;3
BOLÍVIA;8;5;3
BRASIL;46;32;14
BULGÀRIA;61;48;13
BURKINA FASO;2;1;1
CAMERUN;1;1;0
CANADÀ;1;1;0
CAP VERD;1;0;1
COLÒMBIA;162;101;61
COREA DEL SUD;1;1;0
COSTA RICA;3;1;2
CROÀCIA;1;1;0
CUBA;14;9;5
DINAMARCA;2;2;0
DOMINICA;1;1;0
EGIPTE;4;0;4
EL SALVADOR;1;1;0
EQUADOR;60;36;24
ESLOVÀQUIA;3;2;1
ESLOVÈNIA;2;2;0
ESPANYA;20492;12192;8300
ESTATS UNITS D'AMÈRICA;8;3;5
ESTÒNIA;1;0;1
ETIOPIA;1;0;1
FILIPINES;1;1;0
FRANÇA;33;21;12
GEÒRGIA;10;5;5
GRÈCIA;1;1;0
GUATEMALA;1;1;0
GUINEA EQUATORIAL;33;24;9
HOLANDA (PAÏSOS BAIXOS);9;4;5
HONDURES;8;7;1
HONGRIA;10;5;5
ÍNDIA;5;3;2
INDONÈSIA;2;0;2
IRAN;10;8;2
IRLANDA (EIRE);2;1;1
ITÀLIA;122;74;48
JAPÓ;5;2;3
JORDÀNIA;4;0;4
KAZAKHSTAN;13;9;4
KENYA;1;1;0
KIRGUIZISTAN;1;1;0
LETÒNIA;5;3;2
LÍBAN;5;2;3
LÍBIA;2;1;1
LITUÀNIA;12;8;4
MALÀISIA;5;3;2
MALI;1;0;1
MARROC;259;130;129
MÈXIC;9;6;3
MOÇAMBIC;1;1;0
MOLDÀVIA;5;3;2
MONTENEGRO;1;0;1
NEPAL;1;1;0
NICARAGUA;6;4;2
NIGÈRIA;2;0;2
NORUEGA;4;3;1
PAKISTAN;4;3;1
PARAGUAI;5;3;2
PERÚ;65;47;18
POLÒNIA;21;15;6
PORTUGAL;14;8;6
REGNE UNIT;48;29;19
REPÚBLICA DOMINICANA;2;1;1
REPÚBLICA TXECA;4;4;0
ROMANIA;190;132;58
RÚSSIA;126;81;45
SENEGAL;1;1;0
SÈRBIA;1;1;0
SUD-ÀFRICA;1;1;0
SUÈCIA;5;2;3
SUÏSSA;5;4;1
TUNÍSIA;4;2;2
TURQUIA;3;3;0
UCRAÏNA;85;53;32
URUGUAI;16;11;5
VENEÇUELA;58;35;23
XILE;19;11;8
XINA (REPUBLICA POPULAR);76;29;47
XIPRE;3;2;1
DESCONEGUDA;2;1;1