PROGRAMES DE DOCTORAT;Nre. Places demanades;Nre. Places oferides;Taxa d'oferta i demanda (%)
AIGUA I DESENVOLUPAMENT SOSTENIBLE;20;5;400
BIODIVERSITAT I CONSERVACIÓ;9;10;90
BIOLOGIA EXPERIMENTAL I APLICADA;10;20;50
CIÈNCIA DE MATERIALS;21;20;105
CIÈNCIES DE LA SALUT;87;40;217.5
CIÈNCIES DE L'ACTIVIDAT FÍSICA I DE L'ESPORT;16;6;266.67
CIÈNCIES DEL MAR I BIOLOGIA APLICADA;8;15;53.33
CIÈNCIES EXPERIMENTALS I BIOSANITÀRIES;16;25;64
CONSERVACIÓ I RESTAURACIÓ D'ECOSISTEMES;8;5;160
DRET;57;20;285
ECONOMIA;21;20;105
ECONOMIA (Interuniversitari);5;15;33.33
ELECTROQUÍMICA. CIÈNCIA I TECNOLOGIA (Interuniversitari);5;5;100
EMPRESA, ECONOMIA I SOCIETAT;38;20;190
ENGINYERIA DE MATERIALS, ESTRUCTURES I TERRENY: CONSTRUCCIÓ SOSTENIBLE;7;10;70
ENGINYERIA QUÍMICA;7;5;140
ESTUDIS HISTÒRICS I SOCIALS SOBRE CIÈNCIA, MEDICINA I COMUNICACIÓ CIENTÍFICA (Interuniversitari);4;10;40
ESTUDIS INTERDISCIPLINARS DE GÈNERE (Interuniversitari);13;5;260
FILOSOFIA (Interuniversitari);2;3;66.67
FILOSOFIA I LLETRES;81;75;108
FÍSICA APLICADA A LES CIÈNCIES I LES TECNOLOGIES;12;10;120
HUMANITATS I ESTUDIS SOCIALS D'AMÈRICA LLATINA;39;40;97.5
INFORMÀTICA;43;40;107.5
INVESTIGACIÓ EDUCATIVA;62;25;248
MÈTODES MATEMÀTICS I MODELITZACIÓ EN CIÈNCIES I ENGINYERIA;2;7;28.57
NANOCIÈNCIA I NANOTECNOLOGIA (Interuniversitari);4;5;80
SÍNTESI ORGÀNICA;7;10;70
TECNOLOGIA EDUCATIVA APLICADA AL CONEIXEMENT;34;35;97.14
TRADUCTOLOGIA, TRADUCCIÓ PROFESSIONAL I AUDIOVISUAL (Interuniversitari);24;20;120
TRANSFERÈNCIES INTERCULTURALS I HISTÒRIQUES A L'EUROPA MEDIEVAL;16;15;106.67
TURISME (Interuniversitari);27;15;180